cases,diff,pct_change
338,,
258,-80.0,-0.23668639053254437
231,-27.0,-0.10465116279069764
363,132.0,0.5714285714285714
338,-25.0,-0.06887052341597799
468,130.0,0.3846153846153846
601,133.0,0.2841880341880343
436,-165.0,-0.27454242928452577
322,-114.0,-0.26146788990825687
520,198.0,0.6149068322981366
368,-152.0,-0.29230769230769227
389,21.0,0.057065217391304435
825,436.0,1.1208226221079691
1158,333.0,0.40363636363636357
1137,-21.0,-0.01813471502590669
2261,1124.0,0.9885664028144239
2356,95.0,0.04201680672268915
3211,855.0,0.3629032258064515
2721,-490.0,-0.15260043600124573
1264,-1457.0,-0.5354649026093348
1959,695.0,0.5498417721518987
1748,-211.0,-0.10770801429300658
1669,-79.0,-0.04519450800915337
1885,216.0,0.1294188136608747
1653,-232.0,-0.12307692307692308
1071,-582.0,-0.352087114337568
1057,-14.0,-0.013071895424836555
1002,-55.0,-0.05203405865657518
1231,229.0,0.22854291417165662
2643,1412.0,1.1470349309504466
3090,447.0,0.16912599318955723
1885,-1205.0,-0.38996763754045305
1810,-75.0,-0.03978779840848812
1127,-683.0,-0.3773480662983425
662,-465.0,-0.41259982253771077
937,275.0,0.4154078549848943
1139,202.0,0.21558164354322296
657,-482.0,-0.42317822651448644
612,-45.0,-0.06849315068493156
477,-135.0,-0.22058823529411764
582,105.0,0.22012578616352196
1034,452.0,0.7766323024054982
1078,44.0,0.042553191489361764
1168,90.0,0.08348794063079779
991,-177.0,-0.15154109589041098
940,-51.0,-0.05146316851664989
1263,323.0,0.34361702127659566
1520,257.0,0.20348376880443397
2443,923.0,0.6072368421052632
2467,24.0,0.009823986901350779
1456,-1011.0,-0.40980948520470206
992,-464.0,-0.31868131868131866
1028,36.0,0.03629032258064524
802,-226.0,-0.2198443579766537
958,156.0,0.1945137157107233
1216,258.0,0.2693110647181629
727,-489.0,-0.40213815789473684
497,-230.0,-0.3163686382393398
317,-180.0,-0.3621730382293763
276,-41.0,-0.12933753943217663
364,88.0,0.318840579710145
225,-139.0,-0.38186813186813184
149,-76.0,-0.33777777777777773
157,8.0,0.05369127516778516
256,99.0,0.6305732484076434
290,34.0,0.1328125
294,4.0,0.01379310344827589
194,-100.0,-0.34013605442176875
191,-3.0,-0.015463917525773141
309,118.0,0.617801047120419
156,-153.0,-0.49514563106796117
191,35.0,0.22435897435897445
298,107.0,0.5602094240837696
168,-130.0,-0.43624161073825507
136,-32.0,-0.19047619047619047
265,129.0,0.9485294117647058
245,-20.0,-0.07547169811320753
267,22.0,0.0897959183673469
250,-17.0,-0.06367041198501877
245,-5.0,-0.020000000000000018
228,-17.0,-0.06938775510204087
317,89.0,0.39035087719298245
355,38.0,0.11987381703470024
511,156.0,0.43943661971830994
889,378.0,0.7397260273972603
737,-152.0,-0.17097862767154104
497,-240.0,-0.3256445047489823
625,128.0,0.2575452716297786
1168,543.0,0.8688
1701,533.0,0.4563356164383561
3004,1303.0,0.7660199882422105
2120,-884.0,-0.2942743009320905
1620,-500.0,-0.23584905660377353
954,-666.0,-0.4111111111111111
1334,380.0,0.3983228511530399
1349,15.0,0.011244377811094441
1359,10.0,0.007412898443291294
1531,172.0,0.1265636497424576
1883,352.0,0.2299150881776617
1418,-465.0,-0.24694636218799793
2042,624.0,0.4400564174894217
5584,3542.0,1.7345739471106758
6636,1052.0,0.18839541547277938
6825,189.0,0.028481012658227778
2925,-3900.0,-0.5714285714285714
2291,-634.0,-0.21675213675213678
1740,-551.0,-0.240506329113924
887,-853.0,-0.4902298850574712
841,-46.0,-0.05186020293122884
578,-263.0,-0.3127229488703924
647,69.0,0.11937716262975773
427,-220.0,-0.3400309119010819
576,149.0,0.3489461358313817
511,-65.0,-0.11284722222222221
341,-170.0,-0.33268101761252444
306,-35.0,-0.1026392961876833
350,44.0,0.14379084967320255
340,-10.0,-0.02857142857142858
268,-72.0,-0.21176470588235297
273,5.0,0.018656716417910557
757,484.0,1.7728937728937728
839,82.0,0.10832232496697491
1741,902.0,1.075089392133492
3322,1581.0,0.9080987937966687
6458,3136.0,0.9440096327513545
5073,-1385.0,-0.2144626819448746
4210,-863.0,-0.17011630199093242
3697,-513.0,-0.12185273159144894
2012,-1685.0,-0.45577495266432244
1778,-234.0,-0.11630218687872762
1116,-662.0,-0.3723284589426322
1172,56.0,0.05017921146953408
